entname,investnum
bb569a237d7c19edfeef0b91945127ca,1
b7d2dd3ab5f5365be793b3fdd0908650,1
721fd2f9b026b90214562755db950cf6,4
581bee02512d4d98f8e091f07434db3c,1
2244d409fbf23630cc4e45f8a26eb22b,1
6d9776a2f0493b54ed76c266c3c80dcc,1
27f75dff678ed9b7c5581ac28f314954,1
ec40f1b5a848ee16e8b759f6f4c72367,1
ddc51d156c248726e2335b4a666c29b3,2
1a921846da620f1f30f283f6d00721b6,3
507f1ef2a0f467d867e2535fb204692a,1
77b90393d380eb13db3f4706bd51cd30,4
ec72b2aa7ed241e24892c07375de8b14,3
78adc781b600e9969a2bfe0cf8258f78,1
736104ece971ba7d557f5d92984e5040,4
8cb9e3cf3486c828127a47129c7bb0c5,1
14ddc92f2ee24d260192b52b9c03057f,1
eddc1d877498e733e4c4f552495fab81,1
71d5f80895892321715eb8e8fe8fb2ea,1
d6d85f25e632619b3592075753f7993e,1
77d30862cd5d22fbb07e588e2b453a38,3
746b56acbba2fee6b5014e7d95b136f2,1
c54231f5e15b5d03181dd77ab86d65c4,2
b5acae7559154e29488d3668aca3303d,1
8e4e4a886d3ffa4955c5a3caa508eca5,1
6ce1a950daf2cedd952e059755331ac0,2
721f08a45e3d47521780c6b8f730edb6,3
f195fac48b793321cdf4ec058e102062,1
844a8dba2b349d386166f31fc2cc483e,1
5c11e72ca5ecad958cf93f2bef5a6090,2
82eed3147fdc6793cee59e929e843563,1
8864a96e33e6840974f4b81b79e8fcef,3
85617e0b1e8b8f505399cf93655dd7fb,1
c3925eecdb25ecf8ee0c7a0400e7c702,1
bc03e7ef307e3b9bf5ebacf71bca183d,1
69022ca8a5479744b9d32269730820e4,1
ab6ce113a12b5e5d4a561511699bbea6,1
e0a719d81280acc3368e61d5d982cbdd,3
365fd76d4bc9c5de338a426a24fabaeb,1
a441671b8f45e0031fc1bb235ef3b5bb,2
876ec6b12c90376371ed563be61bb452,1
1f2b8e51257d8bc9f41d221be5316cb6,1
2eeeb905a7115e6685a4b65cea22aa34,1
e72fcb5cb0359201186e443fbd897114,1
16b855f55858bcc9e5112d3cad64a9ce,3
a63b17f79c4b4277ffeec62ca971e6b4,1
ef18f17d82bbc2ed1c03374e727faee4,2
37e010ebd01d2034edae298b241677f5,1
e30e487f59c174bdb7bfae1c15d26f47,2
65bab02fbe5aa0bb653513c884afa011,1
d3756b6c1b25d3808443259d888e711c,1
2aff39fe100c45ea488b535e716542d1,1
e3a0bc113f4889d888119ad9da112758,1
1529c0ada8084c51b7e47463a24abd93,1
24d37602a91495325864df0806605cf8,1
ae8a8f9a1eaa5925475ecd8a0e2a1abf,4
5903063942710ba6d9c08a7365c7835d,1
cf45b71cf4c8b3a2ba85754f02219c7f,1
934227aa0b009be75ff7303d7eed65f9,3
49c67434d5525c20637f21732db88a2a,1
425625a4df6c3bec403e24cffbab43b3,1
8ff8a07cd7a4c784ee951e182a9f5f93,1
cf2c06c73a7b90e70208fcfd686f1811,8
298cfa803f5b139c4de8788e4bbf1afc,1
73670f2da2e0875db307a7b14a0dbcd4,1
710affb31ee27d71221c818a0722a3f0,2
53c7e2107185b2144088226a5eb65bc1,4
4d53424d68ca6b61e3f9528e14202362,1
11924521a2f5da88e209a772de84b776,1
debe76fe63e38bd08450bbce0682021b,8
d29599fac3392bd91f3c6b93e70f7312,1
19460d2a758aab77b862a0bedf624176,10
8ba013eb28ad3557b8d2986fe7c585b4,1
1b623866ea0a8d039ed5427b0119a829,3
ceb728b30fcb9ceae99e097aa63ecfa6,3
3c8a55a871669994865e6238d89544c5,3
b1926bd7e76f2691b2d90caebe498a5b,1
c6ed93cba6863e88e563645ac363bd1a,1
ca5de1cf9eacd402eb43ea806525edf3,2
787d61cb19f92ea4bc4a2f9c95c68b9e,1
b0f06bf4704af5d9ba9b7da621ddf372,2
20f5086597506879f1a50832516e74b0,3
380755d6da56394b2eb877ee8bca809f,2
0902601602d5032da7c686629235c74f,2
80bc3de01df89eca18e6d1f879cd7f1a,3
9888ba1319400fcb0808d5fdabd787b6,4
a5699f9c2b48eff2ff577cd9c3868b21,1
e56848f00eada91c2e48f40b38732332,2
bbdb534fc7854e9cc4866c7a04d7bc6d,2
a5a492ae931c78e3ea451e985da00c48,1
e290ddcf6565fe29c222414ae431dd23,1
334c95085df974bb3265677e7bb73093,1
bfaeaf9d58a11e6f325ef4e701c88c02,1
a49ef94a4e3490f15bef6aaa2df983e8,2
4ad6152249fc1e000b10da0e06eef9f7,1
bc25887e94cf9196834a1107997f2423,6
8de5d0a23037998ba6d33487fb74c5a7,1
499eb339eed90f66e464f4196ed1eb97,2
f924d74f75b572ebeba55c7765cfab06,1
d2eb7d1473b4da6dbe2a5bfd6953a939,4
28a4bc3fd6625ed8742414c3faef8505,2
ff81e9fcd7c7217f8dbe8e646e2c01d4,6
04298973549ecaa72ce35c0ed183fe37,1
0a11013a94a7b01cbaf363175c439591,2
7992721d1ca98e4345f163019d4b690d,1
1951d2c88e33a9a1785179d0c8faf98c,2
01d2ae45a46e5235b6df3500e43ff249,3
5cee703cca3d79e2dee985766c2dcff6,8
737137d605fb3eebd24b1f53c1769b96,6
d5a1ea9e4ad4caf19550c4bce111fb9e,3
c12e7ce048deee5e6b8d0c46a95e9d4f,6
0374ea3bc2184d77dcbbe492e79e38c4,1
5dbbbb383b178b8bf472a451c272c51f,2
ad3b964743b90a2797979fb132a16f87,1
ca6918412e949b177a4448ff80ead691,3
f30cd40e72f78bd31d617672b94fe9d3,1
f04f9e15eede673328297711a60ba2fd,1
eb2d576d8b2f36ee9faa06c949de3dfa,4
7831106ae5e6bedf28879f66ac4621e0,1
601befcf34e90da1d278bda348d21933,3
aabc1d762d59d909d072074422039fc4,2
d29acd4847e7f32f87ad1afb849f4640,2
102782ce0eaa091a519b49120b43ddda,1
e5a06a9f332b627779f414dd09b69411,2
3f62dc74e06430504a89f14418b13d66,1
500db2b430ba0c2407096344f719b6d5,1
9638dc6641fcd66a2b96fb04f327c038,2
5b52803b62da3d61c9bcb122891f97bf,1
c74eefc8619b371bd3537b5b09701d29,6
e93ac4f94eb46f099be0ae99f8ad9738,1
5a090f210519a261b9609c6361ba4210,1
ff841c98764a30eeecc33bc9d5b07308,1
eba11277808620b308c5a0208e8a09a4,6
71c01ef57e6fc1aaf79156675a3b337c,1
d3bd1e44e6314d02bcf3c5c7bf0ac885,1
e660aacf21110f357f9da64d254ca694,1
dcd26646010f40f3932cc1be411c9319,3
7464064122e54be2aa8447239cbd52cd,3
ad4be87567cc9b0f74e76e9da5239bb0,3
48c47c52d15515d5cc48848e29f32631,1
df4e998e96952a0ea0a968191ed62686,2
32225b402246a563dcf7c4ff88051311,8
72bf4764d155faeb2d3a5a53ee7f634f,1
79d9c4d48a3dff8045683958814f654d,1
05e8a03294c2b64909483d62551d6f1d,2
4ae5ba44d4c9e29962c226d9214c9be2,4
423581bea613af1617e76e01617ef8f3,2
5c27ed48bc3ce372ea4b93fab25b4cc8,8
fd55bb7476ead02bdd04d31f00ac05eb,1
f35c3140c250db4fb2fdb62807acc4ce,1
aa6071229fc19d4ce3ceb6f9856caf64,1
40cff8b85d88687c80b2dbc68f2f9cf0,1
b71c3d14313860ff0018786a5ec93d50,2
705378950be838fc14549029e55714bd,1
316c74352a89e115ad0446d4cfdaefe9,3
2618f5460c7b4560fedbba743b80dd2e,2
ce41684aedbd9cadd20203b7faac4261,4
b078d6f9dddf508773042ee1dcf10df3,1
1c3d032460ae7b0236da32b54eb73f94,2
320f010b66e7819cf02591f4bfa48fb1,2
770123022ee2e73704226bb54189f7bc,2
84f4441202560e1374be8a4f87a69fbf,1
5faa5befe36d6158d4626df6d58f874d,1
98b55a6a1cc2fae3670ac0d1238558ed,3
43997c6eaab91f604581607172bb83db,2
2ef63e738e2f29243cade2ab0a8948c5,1
d01ff6ae18a6381537a5e594a6783c00,1
0341e25bc5339401fe1cb54343a20450,1
b19e2596b0f27331f3c5965e60ef4ce8,1
ef5677156f4137449bf8ccd08ecbb167,1
4de2e0aa31ca15ca5734caf88bc72f14,3
0e538bbc7c628ed69c2defda23d42ed5,2
5016dd793e4e58e4c6c44114e9294b18,1
c88b281cd7e433defdf3e9ebf3232ec5,2
b9ebf92d226e8900c92c88b15a15f178,2
95850e2cd3d3371c62c86540b241ad3e,1
16d4be3a8c3d7c1a7ac77c8a76ad4c8b,9
81cfd2d0c2021d515db9ea6149464716,2
63e8e3beb6e8c4132a3d36ea556882fc,2
ffc7ac08f30c91bcbb9c405bfec78696,3
2e11f293451b8b4d72ff772dab9abd3c,1
176ff099d91f4e38ff954caddd3df45b,5
e251b43ce580f4d7f3a6adcb4a479668,1
afb39dd9022a7a22000e29ab2f8179cf,2
4e3147c55eaf02195b37fe35dc620053,2
8f487ee9e42bdd35cc7ddb5b9087888a,2
8343033175225d41d36da77384a0e77d,3
402ada05a58a4bdbb53dd648fa48d5f4,1
7e61004aa97f0de85dedd39bbb0d2adc,3
89014239d0e1e7cfdd89ae2eb7686b02,2
d31de168bbc0438f489c3070f04de819,2
35cc9a8bc1a1084678e965a646e5cb71,4
0786b7e7ff77317e007d16f49d4c06e6,3
574f981fb3fc86a8a45a065e7c403061,4
236da2a5d440064c2f57ba11eb2a75b3,2
11624eb0ab9753dcbec4f2411f22c63b,2
91d664dc673de903806ea6356fdd2401,4
1f03976b200d33a89123f6c34b3260c0,1
9c8452b94432dbd2144cc3631141d0b1,2
f6870bd29348a1ee1182fd6ff92f0b9e,1
ef76c8140238d5990cd4070ee0f95184,6
a0ab5918ed52612ae17f9673a5e8d5c8,1
f97c3ebc5e88c2b52f29a2a802a77dc9,1
46fee8bcc7fff0344326399e82bf7bc6,2
16f1ad2dc3d6225e13ad283f8287ea5f,1
6a561019e26c34d2a835c39915afa98c,1
a6ec45cb1b0e6d736ec87c7c98f955ce,4
5acbe94ac181c7c86477abcde4c6115d,1
cf3e4b74af56f3df148e583d4509a6c8,4
e76aa2a4200eb6db21914336dd4f75a7,1
c9d6be0d477d7e2d2f865b1c8eebd848,1
8663d21a26e9d9377a45ead2672fa42f,6
2e072dc4ad68837437d84b3025f7c642,1
08a1a707cd1b40a4b137f293e54dd395,1
481c1ae48a72dfc17db64d479490a432,1
b80198ba31023ed0d79a96a399f5957f,3
9cf2f36632d828b86c6df148181806bc,3
c2c4704fc61dbf87f6168efa90b2b4b4,1
1925f44198a7d06a6ca458cccd02cc2f,5
a6b757bdbdae3c580fbb72d01e36bc5b,2
f9d182c9e2899443cf2d840fffc676bd,2
392348dee21df5214851ea3f434943d8,2
6b70169805d1bfb57839e60d3743b07a,1
9e719c4b2840bab05c0a0dcd6821f1b6,3
e8912bc01a38f7d7169853cc2636d089,2
560d6b9ada83fa529959c72dae37e60c,1
2ab07f68a845d6d1728a565bc2bffe49,1
6589edfed46e8b8eea5bf89ac1eb7ab6,1
0cb909a4e27b3b945a1548c98a3902c3,3
dd4a7075f7a2ff9ea81ba739a99d73fd,1
f6433acf7a77069d5952123909e378e4,6
e42421c8b0e79d7c56f5bf4a4bee6ec5,1
01982b60893b3332e5eef0c2e543c1ae,3
47252857718ad4196a1e8526cf0e75aa,1
d508c0e474e742aadd00ff27c89248b7,3
fba0679630340d69a04bf749ccc814da,3
c8c31f02c176ee7e1471d05bbb84369f,3
a52226c41d016496358718ad6f56ac70,1
a735801f4d8d88703994ecde771b9d4a,1
c496823e253925b52e6f0c5fa3dc5d8a,1
91451b2276cd943936be9d5ba3f9b75f,2
c9d4156f8d823b44b07c744f613505da,1
b38c37066055d13b5eaf6de7daed540b,1
b58f5110eaaecacf916460a4cdceae4a,2
dffc809813e06e56d23ea799a668b809,2
3db076415bbdf68471fa078a30641ff5,1
4c6de12b6954ac10bd38101aa5bd5749,1
d6d21d826af6100dda3c4926197b7458,2
377b1b3c78e86375433a377d278a6db8,2
c326dd4692dbf63a5431b95d6152a22e,2
75f58ef80e57fa676e2ca8d4252c5c28,1
2fce35f29328656611487cec0edd63d3,4
5d3da696dfb04808d6567154a743e754,5
1a778937a112ddf1997674acd1c1b568,1
9b695ab4aa72ca5ea052b69f3488f4b9,2
685c9ffcfac083685d0ad2fe1738cf59,1
6b5033941d16e56568bb979063c98a71,1
09baf9f3129c158aced74c72b613600c,2
f3ce53350c58e6c05638dc01f9bd7f46,5
7474253da06d8e288edca7b3c11c990a,1
3cb435b021783e06e4c4f91ae5c26aff,1
aa40ed1bc7e5dda5645eac4ad4cc502d,2
da77b2a39d6f873f5606b058a28f6966,2
19b541d48d99558441c8d2ce23da810c,1
57555c0ed6a0cc743885e930cbedf175,3
eb29466546332c816a176b860cad1b96,2
c93a4cc6310da6ca8b6137c30aa18101,3
c8870b0f025184f24bf4949d5fcec2ee,4
5f4a13ba31bb9b39c1eca1ec18bac10b,2
0fb98408436e65c9c37c41e7ee76028c,2
5501565b3946bd533b75e446828487ea,1
7522040e6b33f8499b4154ca0ce225af,1
219ceb517e24e6a4b7fce402218caa9c,1
740e44b18e5cf42de33ccd7449ff381c,1
49e68ecb539e727326996045ea9a5cf6,2
b2992297cc8dc62817f976095c53d4dd,1
7e4cb0511b47923888f20050fca12192,1
fea294a5b41ceff407db995def065b80,1
279767ec84fd0fa9064de16d87b78433,4
4543093f2ec9e6a64ae78cac4020c9ec,2
b2fe6e83f6f74d9795d117ce3f562221,1
ec0db74df492a38a4044e534b2693119,3
8215c63137e853b282c5c7606d7e29cc,1
29ea194e56384a37d2e049d9b6492b3f,8
8920f1d85397500f9a4c3914f70cba3f,4
86ab21915535019af3e0bf44355c9d9f,3
d3ee14454d268b69e6d01a9da79fa5f6,1
413021dd2936a030a2b81d59d1111238,2
3721686cc875921bef8b55b2ab48946b,13
887e5ba6f4e413baf134d79626b28bc2,3
44c070aa5c5933e39bb02044166f7054,1
4ae34b42127e643df8977bf4fb6c54f5,1
83f0d925194ab11176d0763146dd821f,3
eec2e0e951c6b4490f28fd2431f4352d,1
e0a6b518352c6dfe9c8ee458785818a6,2
2d890e2a852d55bf81aa17b07a225028,1
74490854b5fd057e7b64c08c11c44dfd,1
b9e5d0014242eb40b50eacd1436cb6d3,4
1cf0d1c7f0d4bed6f6a8329ca5b1faa5,4
832c0f8a1e528dda9b4d79cc5df3b4a6,1
3286106890beb2681871c9d07a5ebec2,1
ecc8bd4e4b5d1f8fd04c8ce526363027,1
be405a47f89ffa8376236c646d41b887,1
360b77abd1b59f5542ee50ed3d532401,2
e9e72086dd615efc8ae7fc483dd162f0,2
25377214baaa0aa8519ed3602300d60a,1
9a0dd6f1299661043736948f21e0ddfc,5
669fa430a2d4f41d721d8cb160020d9e,1
547d9884bc7014243ed634f860f66627,1
a20713d391bd8b1ddb9a87b613b37711,1
a4195777076073c85db95118fd12d242,2
399d2eab622472aff95f5498be47ac94,4
c1c1087fea2ce6dc5c887370db098cb3,3
35e5db2c3d05b2e62404c84a0a42057c,1
e865f772aa7436809665f44c171f51cb,2
0b5a1afd892d9df111a63e8d1fe8f5fd,8
12c6003bad523621307ef57ba3d8a528,1
b837e0cb12f55939c27e6728578717b7,4
98f829a186691d367c5c1d9b0dfeddf7,3
b32f9531fa2c380767f5ecbe01f80340,2
7d26d28c74723e0abb003871d3e88604,4
926395e5873eff2c8dea5bf18a2dea2f,1
be8f978132c79f43353be6172d6a9f34,1
5172b9025e7c6b4f3e3cc77f47b69969,5
e16d8fac9477c44454074aec23b34170,1
2f5721506f897c382a47058e0af2357c,1
d3d5ffa8933ac5b7c20c2f254c187ef1,2
1862415c2512c07ccc46f8bbf98c186d,2
8ecbf482d4731e4c2f818b333bb87a96,1
34f2a881a8ec9abf2bb5e4b4f631da79,1
72ff5fb2139e02fdf4579b2a349d241e,2
8c672e56c7e694340abd6c3957ccd49a,1
56bebe51638f8f9bbdc92ecbd08410b0,2
df7a600aec15d1e38bbadb11d8aa6860,4
bd768b33fab3eec4636cb1d81ffafda7,8
1a806d42e826664f11927e9a80c4fc54,4
03930cab637142fd213008a1484d612b,2
261857d96ae3793090b8c698b01097c4,1
334166a6f68b59f27285a832e103b5eb,7
50bd57ed2cd939b03c5cbba1b630c5cb,1
a87dc04af88b3eed38319e69f9f10a53,4
2cee5bec317050ed266645173a13f020,2
e8eb5e948fec03e0b350ccda55d89545,2
e0a7a76c32e38bc47c5733c05bd0bd11,3
dd01a28f0f7a4bf1fc005aba2614317a,1
ea7e0d4e32873d9d5c86e97ab673ff55,1
0b5811b3f221b02d0d0687c09fbddea2,4
b36da02dfadf39b0dc5c68b4a04d169d,1
2841091d78113ed88bd9282af918df31,4
2a38831c692b3db12dceecd90e60f43a,1
869fa3368f2b83f58ea26386df48a567,1
0f906f27811ca423610b6a1f5142dbeb,1
d3990fd7ff3feb48a5eb05acd5135aa2,2
420da8cf1ded839f532013485064cc0b,3
f6394276335ffe7fbd6a7d137ef91352,4
8b83e09acdad95e4717963e686ae5d2f,4
5d55aa2d3be69bba2d3c590e3ddc14e1,1
1116899172c6521f10b5aefb4dfd4002,3
1e5eb79538ac2e46561bdc3888347ba7,4
6015a3fb9a63ee2244f9d011a9c6e0de,2
69e6de2bed498c2b97cf0a0af6b9a424,1
bc39c6ffd94797500cf6a4724679336c,1
3ad51391e981895860bf5fdadcfd3b68,1
7c31a233a3a66009b5b324df4084c170,5
402b5ca6a01e2a60fb499eb04e8d57e0,2
b4b7f137a716aebe56feddc05a1d3be3,7
60a042226fd8195c85aecfe46b9c3d2f,4
c4fbe3f7371caa7c51d2dc8fb6268415,1
8076a7a187c3ce718c3259fcf5f30614,1
671bc5c5e1f6843f5302c3a0ffc22772,3
3770cc0e3481eef885b9b8dddd5d63a7,6
6d1b61791cfe6ae0697adaddc932a6bf,1
59d2798483336ddb07152fb271838508,4
d67f5a8ea62c4b5ee34888edd595ff12,1
4e6f5716831c5a36f99aba5a6c1e3643,3
d37a1f631c4423f7e3fad001bae37c7a,2
7361efa2d1ddb49238bd86c4ce8d8894,1
269e6c6b34a323e14496f2d30894c7d6,1
a5b1f1ad4a158bdcc960664b13c24b60,4
18388c1ae9703aabc71adbc6c64efc54,2
e6ec81aec8fd7e56fbf439721389a16b,1
d12cc759d1d67f84102fb31913f3444c,1
5b1495a923fee51440e39eba3c902c29,3
5847e4f584511555a5cc5d9b35eb0106,2
3011deac7d3424b0f756613efc432fe5,1
682b87cf62d0459bb30e277213edb903,1
cf79ad2079c74cd9b8345758949db6de,2
c2a9be9762807062c524f34f6b71c02d,2
3d55783b0a870031e5ef074b79bfd183,3
bc534976ad10bb6b98d6a8dff4814f4d,1
f6739e84f9a54a03f4b4784a2d7ff13f,10
90aa1b04d83596a636c76c18f1a24f6b,1
be1dc490a835712b5cb54078e0926280,4
0aea605253337b3a7b609e8ea66fcc07,1
09bb7a48379415c3925835ee73b3683b,1
a0836a8568b509acaa7a93156f4d2cb6,1
9c884166437820a403224f64b76c0184,1
cf58e552a8419c12e0e287046777c7c8,2
4ac7671ea8b7db17d2470cdb3261929e,2
c53f48533c664b5399d5844bf7fb203d,2
b3ccfc5372ac93111268aca1dba5cea1,6
1ad3d45ed9cdcec9b578e74096e9a0be,3
d29c91ba42775f42c776be3cb9e0eaef,2
2b450c2bed384e5b472d58458bb9a8eb,5
9b27dd57c801de2df0a9b04d2f6d7b64,10
38d9c0d98585dfeec229dc20e1235c35,2
da79f2589abf9350b1197b6113d21a82,2
bb2683b28c5da6e9b4f6ae6e4b496dbb,2
6a5040359817c53f8360c65f7968c7e7,2
1364352836209e0fd2016c434f4489c9,1
bbd172d2a72edbf23390552f5e139298,2
df6d5b2ea5e1d623516b9bf10ca8afb8,1
ae23433da312f7c18ac28722737c6783,1
a2036f8576406c6cffabd9e12371f977,1
b5b84c17c060dcccdd8a3d1c572c6353,1
8e00047461fd3208aa514881123444df,1
6555c5c354273e2f7d6f02fd51cfc441,1
f9bb62fe6c6378273abda615deada351,2
c48371ef25fcb17a14be0d6e448f0ed4,1
6d407bb21ba546b2ea7402cc1e9ce63a,4
18de20a371a9ec973a9b229415c091ee,1
0bda5e529641b24754d90fe0e17d5fde,1
722e2b2d1cfa85054b6f94b5e7486ea2,3
071fff0ffdb1e663fa2a14884090a136,1
ea3eb456e7a9bbec2790241c101440d1,1
f7a076669361118831ce91a5b2156449,8
4d1d2f2bafcfbed8752b94a15e649af8,1
5817f248b543d0c1de173b450faa7e1c,1
e46f7637da5832eb932c5dcb3bb156aa,1
6838a69b2c8f7b04cb337ed69d59bcd1,4
5b80ffbbc9b189c0097762abc4f35294,2
81d12a8d6bbdcfca4e3670c782d9f9e0,1
15443c382598ff2a32730b76cb49ca3a,1
576fd13ce135ec5385a250fab81958b3,1
08edb72dd9eb814450528c52e272c9f5,1
c55bbec47174202d6cf7a973c8165991,2
76b39abc73c3829571d1bebaf1be88ce,4
97d9b53b390ba5e987c03f431c79efec,6
1d35f16b7b328f95c0acc338a910fb86,3
0f2c3505bcfa2f4c32dea14312095630,1
ff5286adc1bba06ebe57a97000d3aaa5,1
927b78712157508fcac4735cb5ff783e,2
fc0d7d9882263708d1410fcfeded06e4,3
b31e3da9bf73c3c7f72ade08e66f9a91,1
bd00796568de81444b61d8deb5ab7aa5,4
ff79786dd03a0b135db7c6f7ebc7448a,2
08cd928b964adcc02d2b434c912deeff,1
49ec5430765b9964615bb804f7062c6f,1
881aeb023f2caca5ba56aa93f67c9c9a,1
8c4cc68039d41a878b6cc184573d6f2c,3
e944a2b2f30496a69c666ceb8a2aec96,1
96cad27d2802dd92b925bfdba6e703b5,2
9116c9f2fc99939fc81488c9ddd0e746,2
6d078cddc075993976c20eb89e27f053,1
41042e9f06ba874a89aae7032bce6d12,1
94b5790532f2b99e52b52460ab59e147,1
d9e307b2d6ed877d37dcd6e52a0cff20,2
744399f4453aa748f1a1e8e9e7b99255,1
5f14ac946a8d0bc502a0af3d0beba95c,1
b12cf0192627c37b8c8655b54685130a,4
574cbe3f0aac541d2447b97e6d528b16,6
e2df68e28beaf7b48f85f2e10d8ce0d6,1
c3f267c2509c7c27345689efb09290b5,1
c5e69c13028f3f354c5a8b1b0f953453,3
a500021337ff832faddcf652bfe0c20a,2
3cbce9ebfa17d529e1ae5d250e5f5292,2
f98a2ae28d9d228ab570c04ab8784fc5,1
e7485b57647f4e91f76c0da9c4ce02b6,3
27b0eaa0d42c52184ae954bc90f78026,1
428c7768893764b2c9037b041d07c971,3
fbdfe403754cc26a7ebf8955b5f5bc9b,1
55ceb615b79919db8e10779fa48d4da5,2
8b680626be0f0d4d76b0e68f8a2ed1d1,1
68ceca3c81e9c693346e49eb943d1ae4,1
f29db12c2ee455e6c84da1c8ec54615f,1
c7eadfc3c44c9bb4e7bd88e4cbf2d2d0,4
733273f2d97c93209f05a7258a162586,6
93b40bcb9d482c9cda1e9dc2d3416f9c,1
6e98b68243bba6558ed21a4b1df0cfee,1
3954dc894243904bd5464e9549a6c20a,3
89135991eb923c7153e9cf79f82cc78a,12
5fc5b74aa31dfdef260099341b97e1d6,2
fef6b42819db4fea2f02363a6b3dc2e5,9
02e5ec8707f27158692c2e8be244e2b1,1
73aa59d46c548a3336309645c2b76558,3
678981cff1d0e8646a3a684bb6c38f93,2
