entname,zhycnum
0e5992a7ef87a02c6fbb6dd6946c49a6,11
368b7dc09cd9fbe3ba7dfe539a2d8ada,2
49d078e2bc2c3211422a6eadc462678d,8
35893e9018fbf5ba550cb1ed877dd173,1
1f463e128eb14d59e9af30e22dec664c,6
498406f649f02e096428af8f84cea467,8
c6b1d42c53b3e872693223aff895db6a,46
0ff4f0d07e0e1989b5a35c27602bcd6c,1
13b0e5a82b65dd2d8f9571589d1477b6,2
d485ce7e2f5e10cda7b194e9cee81d4a,1
7e7a683d46263e132f22c16822af2ff4,1
026c94db54fe6cabeb9923381eefb8cd,1
f7db4318afcdc6ba02c279c65551bd30,1
1771783f14a42d20869df88fd079ffb3,15
6c6fd8f2822b0736019c6fae7443934d,2
6c958264ca41dca0ca4f3aac76b1d34e,6
0fba271113edf26dd0f1a88916c51b67,25
02362434564215591c4d58afcf466082,1
c79ed92b88e287d8ba2e07fdfe7d95c5,1
4fd7a5a037aed38c0422060000cb3fe4,19
e785210ccb33ae0083b80abebc3fdb85,7
b14bf3a79f94292d1aebb1b4a27bc112,2
56e7f0a66eacf950c0a42383dd2a93b9,6
d8149487880d2ad7db725f328ad24137,1
7d52b1239b1e16fe58d19ec7a615eef1,25
dff54b101fec8ccea1d534a5fbeef263,3
e2d0d5063c5ddd1046ec0c1732b7d3ec,7
bdc547773d2d280cff8bf186418f8afa,17
b3dccb80159bf8f495e6627b620612ad,3
5bbdedd5f6d3e59f05fb6f5439cc3ca5,4
2b96edcf73dcd7cc208bd87bf09cf0ac,3
f5aeea42d878ed3e376bbabc45877fbd,10
fb461ee2b0c5514cc6e938577a8c64c9,1
27774650d8bffc5b4f87ff852c247dd1,1
5eca20f84b0a446986525b6a6dc91c41,1
b1655c2ed7d59a19fb62ad40840e0666,4
600ac0e54ea4371a98dcaaf3cddfc5f1,2
d62124f3188319d8f5e3eee01e578aad,2
cf5b8537f76394ee9ead55ec2c1b8ba5,7
e9abfcab0be9fe62d8041e9c721c0579,6
e4a57738b9cfc049859f174c3f364b59,4
358a794c309e5bb5554980a8a5f52c8a,1
6a501483b186b8dfb10d14cc7fb43bcc,1
b119d78a389e480f55462074d252923d,2
7015d77d32aa7b8a24b29cabf0a0df4f,1
ceb728b30fcb9ceae99e097aa63ecfa6,6
a2996f30cb73c98c806a4f41fec2eacd,7
913686648459fd1f08d7799f20892e57,1
fcdb545cf71d834656842040b104d2fe,1
70ada51237068afe6f058a4ab2fe338a,1
2de86463114815b626884b72c8708ed5,5
e914ff3f09a8204bc3c0737c775f8857,3
024e396533db63a4a177d770da9ec294,3
02d43229080ff748eb5d94701fa60aab,3
453e145c2cc4f3ae08cf114a19ac8746,7
2c1cf4cd985eac22d6ae061c42e1a96b,9
69a5a26a3a7770011556f6f41840d608,1
d01e57e668a31d15bb8c051ef5a74ed9,5
48b2fdd4f06a04501f14be2f5e3f0800,2
2f6330e7ed93dc8467bceee2c0720be9,2
a6844d5cb8b9c45b47fed36d4fe5b3e3,2
030f361152d57a7d6e6043677c6a5592,31
2ed1a7dd8b049bb06eea34388a864b2f,15
e2108bde0bc99f16cd25bc9c13e0dbf1,9
1139c332e8c482734e75876072f67030,6
8f6a6438eb1657ee4a3dd5592f189515,1
f362c47168dcb8bdea8e2b82e0c84096,10
b6fa5ca21d4e98c181ae45b3d83359e4,9
9fae0206971e402c5a2ea70614ccb2d8,9
fdf17dd5c8adc2c2eb2532e058e76484,23
10d35c7bbbb830fc73bf9a70ec7f6558,47
f5bce71e5b08afac5affc23661778b0e,2
b94ca0670ac1ae3b74c797a87c11bb8a,2
f1e172a320e54d91e5a6dd98de695242,16
f38fd36f4540e9c5de4e7d44c770118f,14
410561b98489acabc43ba1dc3b6189ff,3
428ad31ca0e51af51b1e748511133a97,4
0c4ab23fe69505482e4a0f7f0625c68c,5
cc73690fe1ec4d8436557061268d9fb7,18
a27f2c5a7e5b92d936b63d2f18d2afc6,14
9e0f6c12b9f4a98fbf07dd31120b5ebc,2
dc64c43e03fe7de55a893f0c22f769b2,4
aafc3d650ae3bd4e20e099539550a714,4
2f9354122408e417763678991ab55795,2
81ab85efebc1fd86c1fd6ee664cb235c,6
8c4157352ac3845882fd3c136a4bd33e,7
63c8849f9b5c5f55deda56d0fe5cf8e1,3
a404f9e580c5d9e754563ecd5ada0575,1
74619e5a22f4b57aa9470219abc51135,3
f353fb92692bd89a96a6688717007ffc,7
3172bf8b042399f7ca15de624f4ddc2d,21
7527c5fa2297f2fd83bbb2204036dcae,3
c9e0338185013c53c4255deba68d86f4,3
0de07983cf8c156561926e8f530dff75,4
ef1dfeb68d1ad85b8c01b879816bd01f,1
cda356447512586f47c75cdcfe9817a5,2
fb7c4aa72969373baf60db80180b15da,23
da7e773f81305c48c6eace9bfec661c8,1
533c8c8607ede550a3cfb767efd87271,1
81cacaf3f5eb6726d6c37f8144afb6b3,6
672c97f7520f2ba5082180f595ed27e8,1
1d0dc5dfbd99b9382e5cabf84addddfc,3
4f15e3b9408d0a59fda868126fac4295,1
86577e10b7e1d00e87b03a3994e2b1fb,1
4f4012f56754927441a52b9396d7ea17,2
f908c0f18f96577bbc8f24a851a60d8d,1
3fd0ac25da490d11f3c5e2d8fc759365,4
33b06575304c31a42c2b2b5639fadb87,1
102ba6e062f06f241c1466c10f62dcee,1
8741a3e3ec4e9f183472ac0210cf3a0a,4
708d2526f578997ee06a4bf47293e952,17
b98c9bc6d71c79adf8185e3f2f2e5ddd,21
8f57923d433584a7b6c2cca74e213dde,16
ff7a332dbd4309bc08bb4ec2427c6ec1,3
f0dafd642aea226df97727d7b4b3925b,2
0975e9791372eea49dee96ce335fc698,5
ab5ca342ea5088ad481da8df15a47081,1
8aa152c2e30985c396f3695176e4510b,2
55abd5ea1e3c290fdd53244aa49749a7,3
92fdc9b88d55b794ff8c41efda4b262d,3
ca707ea6884a045cd9cac6a74a620218,2
4523515e31c43e1f1bb6ead0c9386e2b,1
7433a797364b44573986b7b46b63545e,1
683f19f4a25cfde5da60a83971925f70,7
71f83160b71ea75439783b2e80ef0076,6
619db3067cabde2eaf9c173c38951a0e,12
45584c5024f5fdd52d466d4e0f0033c8,3
d3a44ea2a3883efa2d26558ba1310bb1,3
44c888d0784d9825771896d8a203453b,8
f8af62f40e0e979ac5205306f3560090,3
5a8abb92ec3edd13df85c65243b2633d,1
d8025e10d19319012d2923b9ddc988ef,1
7cf747bad1777e42eb5045dcd3e2db94,7
ff4dd89057179627ff1aa869007cb0ff,1
6e68ccc133f6f505bb1d9e733a55d173,1
5ccbf6a37ec81ca552b0b68a5453e6da,4
cfcfeb7ec9985da374e8d61437cf4624,9
f84aa61b98c357a23fd6abe409295143,10
91912b6f77b209a0fd49b4c4762717b0,1
af3838cf10285e4d6603397dbfe4a005,14
6b0830cb295ac871d391fc44ca3a3e77,1
df0eb1e5ee9a6087d480fda6c4933e86,1
43fb96b4760ebbe17c7b494d174f2641,2
190563b59cc9d961a57cf7a691cac112,4
b347184e91a1cd2aca23ceb8d567d257,2
cc05c980a51fd829f48ae6a0ac08964b,3
5436d87ed6cc069bb6988549c0342738,6
3faa36174133791ec8c1ed87b8862672,1
fcd5f03bfaf506e447506befd0d4c7e8,1
ebe0b8e1aa9ea1ceaaa05209fcabd272,10
81b34a220ae03cf00fc8a526e110720a,8
67946ca5d8039c4ee4b792bfb5fca578,6
e25ab4717c1f3ea0e92e39f63b46145a,9
e26eaf977ece6f51c939a89eb7f60a3b,3
4685e2d75d8d18d50c00771ae8fc2278,1
c34335398bc8e106fafbe73468452e22,5
c775fe13eec079044657494f0f4886b0,7
4a346bea5605589c1b351a67c162de32,13
13df6309fedcdb14680af9606abed903,6
f924932db6a2c5a25f51dc8837dd1b7a,2
756268f695a45bda61c35f798bd50e9e,2
9c9641dbe06442c6e3fa3e03e82e4901,7
5f30010bc35445e8168729f6ec1cf2b9,4
28509315c007554813137e63d98b727d,1
c58d5b387011b7576b8a81dee666561a,5
97b499bd75c9b066bdf1af231a954b09,60
8ca8e06015bcb99165bbc2be3ced0166,10
ddfd023fc0928557a9b4749208ccef4a,8
c345f29cef6b7e9ebb35507af1944eea,1
1b373840aeb82ae8558690e6d08cc664,2
36e4d9f213296d3489c81121c01793c8,1
6b6f8e930680026f2f39f73ec9a823be,1
6cdda21e3128901d2709ca0d53732927,5
868182324c192b1decf56038b4b04822,1
6145de06fc6e2809fb8c52c3e03b7a29,19
404ae9cd8c306905c0d6d9c70c6aa340,14
fa8857ba0b5249c6c7cf945d4655f9e7,4
86409abbdccd1364577cabc4597e5501,1
78023eb7738d1eb1c87d7a6a6a7f48c6,5
1a64abcdb3b10a652d6ffd29aed17628,2
2da7797b55d94d1ca15494ee3c953e4e,5
a6ab41d4af8e3383a8828cbfac776a7f,2
64f02a410025259e2b2734a3413ee97f,7
ad2f8cfd51b7492bdbf7f0b28fdef267,3
de003d80554c272e31750eb8154e5799,7
1a2f75f01ae77ae4562fced0bf5a9c27,4
ea527ab9814beb3e6af97fd43f9e2aac,3
502f925985536332781bbfa91e98de2e,1
fcad8fbf9858e58a61424a262f60c5cf,5
b829264df03c6f7a5299bf710c513791,33
4e0e7eafb37d282542f215b0625b0c18,2
f16f75c5de73d6a23529c4a272bfe915,4
28e4781d60a08b60ed9c876c7edf2494,2
fd29ca7a87875e2510f65781c395eb16,9
297a7aadf9a1a9cad812f461623db033,1
48dc0db77616bce2caa468bbc450a86e,3
09e77a1a469946319bea016032430c34,4
3e2f0333aec534f73f3b162a97cf7bd5,2
f661c9226e3d9667078dd571516e4e91,2
1e0c3b91fb606d69617dc3e6ca3258e7,1
0dd0e88595ea77983b7ecc4746150c13,21
ea62192706c812fd93e6608a95259012,2
738f9f47f1508088b2086e8dc601fa8b,15
6763dda7cc7986db09fda3f4521a1d62,13
aed067f22e21ebcf893bd5c077e9bedd,4
3294662edae571e7008abaf0d27d9236,2
313a300cbd95e43faa3079f199940ea6,21
23195e6996caf634539f7b81d90b5565,10
f9a2d4567f2aaa2ca05839ff3002bc34,7
066cd7330b2a19150d37e7f60aef2b8e,2
7ff3dc0b39259d08a1c44d0bbfd276d3,10
3b756abc92d8948f2652c74d5a7d19b5,8
c52b645b9ea0519980ba8ef0fbc4e5d5,3
98e4826865f96120461c3ac0e463db49,9
9006e64c26c577c861c4d3efc0f551b6,4
51a25a2d05fbaa4eac6489a72a767d45,3
071d8f9457d2636937fe16c7dec6109a,2
402b5ca6a01e2a60fb499eb04e8d57e0,2
58ca6f9e48576ae3e9793b20aaeab57c,2
2c709707290a0d83c4646e14134e4c27,2
1fdbf0f65adc983d2d4f6be15747fe35,76
f63cdaa3aef1b01dc93d894f4807af4f,47
3666e326530154ab0845723c1de46614,4
eac595f79d1a9aacfc075071dd0f1dc7,3
b374465c84e23e0ba10785f7dcde9887,27
cf4443bce25e0d4d4a61ec1aefd79a38,1
0025c4abcd29b2f0afef3ae12abdee64,1
f52bb7dafadd46796034a1cc7f55658f,1
f1691817cc697525f54bd0693dc66bbe,4
9fde81dd2718e7a97bc7eabf641c693a,1
34dc95f36361c4d4b94bf164e0d54e94,20
ed191d5c8ce3b9ec568957bb49a9048c,8
42daa37b548cf2701977d709f943d0ba,1
757f21d9c2f3271faa71b5c8b63868b9,2
ccd35e9d9d5e62e2360abcec5a051a1e,15
e249d4c3ed592ae7ffffc7450fb22133,1
5f02a12a4af3f008cad732933273709f,4
94510952240adf83cf4f45c7e374b24d,1
4e9b8a2b49beecb5b8dff7dcaea2eec6,1
4b44e731a6d83031c4f288158da751ab,1
2e59974172062ac69b7ee7ae12d9462d,3
815349e94c6e08dc9a2f078aa5d63fd6,1
4e49a2a8bb4dd0cb2ed4316de04dbd62,4
41bd234118d51e9da6c2c3efd80014d3,3
ae103a5842e061155e336c3274bc1f39,81
e58d4a8a9f10b74c9c1ae78d6f0a0e94,28
0fb8528048e20d3eaefa096bb9cc182e,6
bb2a99eb06294aa17cb7c25ae543238d,2
1991d698d04244f98b41aff6bd74e113,10
6d68cba96127888337b9916b955b513d,8
38ff3b79cc567dc192a28b444d65418c,1
5cc31d55de62a88e8a6c749c33497edc,2
9a95ce359dab4b508e933898ae1b9148,4
54fd74f9ce1e56c021b86f05ebd5683a,6
2deef25eb998c8c85a7cfdaa3fcded72,1
a9a3eb7e8935cb0567f329259ac319ac,14
13efbfd764273ebd19a6bda01de0bb6a,1
630decaa64d5264e3b1f69c6735e8e5d,13
a4172b45bf5a0da8c2d1e7218fa2880b,7
a2cd0c5ce77804c43177c08175de7813,1
b1a78fa30c3df08ea2b782dfbdcd48e0,20
9f2a0428441d549e8dd17ecc19b52303,22
e34bd05efa617a493e006d15fa6cddc4,5
8ba23f1fe81d20685f7b3ded5e14c101,2
212d7993c8ded68a4ef0cdbf5b3bcdc9,1
ec784ec818c6c1c512d71e4b88c8d219,1
e23458ce3dc4802e8ebc6789a27a6300,2
ef3846fefa2ca92cdc67cc8e952e5f9e,12
538ebfce82a83b23be6459c947d60c28,14
e215dad8a50b20ab74444fdd822e8cab,2
4a0fb76912d8bcb12b29f8d5b9cf5751,1
3e4671381c9d5e28b314fe7f6a87d74b,1
5e7c8f637fd2f430cb35b34e4e455cd7,1
69aba0fb3a9fb7c7b1644d5167a40d75,1
9d376ea81f954b9fc80e4f96db0b8882,1
948ca1dbf8b5867a095084b7c5d7894a,1
5ceb5357099239893f48f01bb1df7132,1
bca10997bf657d13f4ca0c081b782d38,1
95366bfa21ae7d142e68293e34f3347a,1
db4013b4ad2e05ab1b54fef8dc32afa9,1
cd40509601d767fb7ace51db4087ec70,2
88cba0d244d4fcaa45c3cd36e24458e2,1
558f144ed55dbf835b4642efd0aa358b,4
4896bfd349b50a3301dad6f020aee4af,12
af1a4fa01dbdb1bfe0a650e16470f758,9
35ca3312c3e57e8bd2609bc8131ca47a,10
a75fcf6756d7327735afcfb3d69a6d73,24
84f25bbb139add0d11bc84a183ae47d7,9
f9773eedfa7645742d4d90cf308cda2e,4
ff200c1115bd588c5130c194ab9f37dd,3
60610e410b0aee447eb0da41d1622c92,6
d85d0b75bed6ce6b95e34698966cf6dd,4
f1f79789782ba3c8ce02bbeb9a1c5ea7,4
856c6616242598368fe5e74402422273,10
936b13f2217f1a87303a8c6791559a80,2
f9d3b2f406884bf114fced07fd71b9c8,2
91f09cc57a7c50a2a1f26b768e1b4435,5
033ca6aaa541cf03374848fc81fdd36a,2
855dcd01a80909251a1d7e3fef0d1be3,1
